기준연월,동반유형명,언급건수
202305,기타가족,890355
202206,기타가족,863625
202306,기타가족,832065
202208,기타가족,813660
202304,기타가족,788760
202210,기타가족,769320
202206,부모님,744720
202209,기타가족,739320
202303,기타가족,717510
202211,기타가족,710055
202212,기타가족,694335
202301,기타가족,692115
202207,기타가족,689895
202205,기타가족,671325
202302,기타가족,654105
202201,기타가족,453825
202204,기타가족,440025
202305,부모님,423990
202306,친구,423780
202305,친구,420435
202208,부모님,417210
202203,기타가족,406170
202207,부모님,403740
202306,부모님,400005
202202,기타가족,391605
202211,부모님,379515
202304,친구,373875
202209,부모님,361665
202210,부모님,359760
202303,친구,345600
202205,부모님,336675
202304,부모님,336675
202211,자녀,331530
202208,자녀,322710
202303,부모님,320910
202208,친구,319515
202210,친구,314070
202212,자녀,312495
202305,회사동료,310875
202305,자녀,310665
202301,부모님,308430
202211,친구,305265
202207,친구,304305
202304,자녀,304035
202206,자녀,303915
202302,친구,302175
202306,자녀,300285
202304,회사동료,299415
202209,친구,299355
202212,친구,299160
202210,자녀,297615
202306,회사동료,295710
202303,자녀,294240
202207,자녀,290535
202302,부모님,289185
202209,자녀,287625
202212,부모님,285795
202301,친구,284325
202208,회사동료,279195
202301,자녀,274770
202302,자녀,269325
202206,친구,260865
202205,친구,259455
202212,회사동료,253230
202303,회사동료,253095
202205,자녀,247725
202211,회사동료,230205
202206,회사동료,222000
202209,회사동료,220395
202210,회사동료,217170
202201,친구,216270
202302,회사동료,215055
202301,회사동료,209835
202207,회사동료,197190
202204,친구,196785
202204,부모님,193155
202205,회사동료,185940
202203,친구,184200
202203,자녀,180960
202201,부모님,179040
202204,자녀,178965
202201,자녀,176415
202202,친구,172275
202203,부모님,169230
202206,연인,168690
202305,배우자,167145
202208,싱글,159840
202201,회사동료,157020
202202,자녀,155280
202306,배우자,155235
202202,부모님,154425
202209,싱글,147150
202208,배우자,142965
202304,배우자,142050
202303,배우자,141045
202210,배우자,139695
202306,싱글,138750
202210,싱글,137775
202212,배우자,136515
202305,싱글,135285
202301,배우자,134100
202211,싱글,129870
202303,싱글,128295
202209,배우자,125895
202304,싱글,125115
202211,배우자,124980
202302,배우자,123420
202305,연인,123315
202306,연인,122985
202204,회사동료,118785
202207,싱글,116175
202302,싱글,114000
202203,회사동료,113310
202205,싱글,112440
202207,배우자,112200
202210,연인,111375
202206,배우자,111270
202301,싱글,111225
202212,싱글,110325
202206,싱글,109725
202304,연인,109620
202205,배우자,109605
202202,회사동료,108975
202303,연인,107895
202207,연인,96675
202208,연인,92655
202209,연인,91800
202302,연인,86610
202212,연인,86040
202211,연인,84750
202305,학생,83610
202301,연인,81015
202205,연인,79845
202306,학생,78885
202203,배우자,78285
202204,배우자,78210
202304,학생,77280
202208,학생,76995
202211,학생,76650
202204,싱글,73530
202201,싱글,72720
202203,학생,72405
202203,싱글,72135
202303,학생,71670
202201,배우자,69660
202209,학생,67695
202207,학생,67395
202201,학생,67380
202302,학생,66705
202212,학생,66585
202202,싱글,66465
202210,학생,65895
202205,학생,64305
202202,배우자,63510
202204,연인,62265
202202,학생,61680
202206,학생,60270
202301,학생,59625
202204,학생,58155
202203,연인,56445
202201,연인,55125
202202,연인,46905
