기준연월,동반유형명,언급건수
202305,기타가족,1181184
202306,기타가족,1101536
202304,기타가족,996656
202208,기타가족,940496
202303,기타가족,922048
202210,기타가족,893424
202209,기타가족,880368
202211,기타가족,862096
202301,기타가족,832672
202206,기타가족,820688
202302,기타가족,799088
202207,기타가족,798384
202205,기타가족,782480
202212,기타가족,760576
202204,기타가족,551856
202305,친구,548256
202306,친구,543728
202201,기타가족,543152
202305,부모님,516416
202203,기타가족,503312
202304,친구,497360
202305,자녀,492944
202303,친구,482912
202306,부모님,473488
202306,회사동료,472288
202304,회사동료,463888
202305,회사동료,462576
202202,기타가족,455936
202306,자녀,451920
202304,자녀,444832
202303,자녀,437696
202304,부모님,435440
202208,부모님,424208
202303,부모님,421712
202210,자녀,415904
202211,자녀,413952
202205,부모님,412336
202209,부모님,408432
202210,부모님,403984
202210,친구,401952
202212,자녀,398784
202208,자녀,395312
202206,부모님,393456
202205,자녀,393104
202209,자녀,391584
202209,친구,389984
202208,친구,388784
202211,친구,385520
202301,부모님,381904
202302,친구,380192
202211,부모님,373616
202207,자녀,371536
202302,부모님,368880
202302,자녀,367200
202303,회사동료,365264
202301,친구,358192
202207,부모님,357760
202207,친구,356608
202212,친구,352336
202206,자녀,351520
202212,부모님,347264
202302,회사동료,344272
202208,회사동료,335680
202206,친구,335072
202205,친구,314544
202301,자녀,313776
202305,배우자,313536
202212,회사동료,312448
202301,회사동료,308896
202303,배우자,305344
202211,회사동료,304720
202210,회사동료,304304
202207,회사동료,298432
202209,회사동료,296688
202306,배우자,295888
202304,배우자,293088
202204,자녀,289792
202210,배우자,280864
202203,자녀,276768
202204,부모님,270496
202208,배우자,260912
202302,배우자,254672
202301,배우자,251344
202201,부모님,250208
202205,회사동료,249888
202209,배우자,249600
202204,친구,248736
202201,친구,247744
202206,회사동료,243104
202203,부모님,243024
202203,친구,242496
202211,배우자,238720
202212,배우자,238400
202207,배우자,234736
202201,자녀,230896
202205,배우자,228416
202202,자녀,226736
202202,부모님,219568
202206,배우자,211248
202203,회사동료,209792
202201,회사동료,203968
202202,친구,200800
202204,회사동료,181664
202305,연인,178464
202306,싱글,176480
202305,싱글,172400
202306,연인,170496
202204,배우자,168672
202304,연인,163808
202304,싱글,160256
202303,연인,156624
202211,싱글,153328
202303,싱글,150800
202203,배우자,150416
202210,싱글,148832
202209,싱글,148592
202207,싱글,147840
202208,싱글,146512
202202,회사동료,145792
202301,싱글,145328
202202,배우자,145184
202201,배우자,140912
202205,싱글,140064
202210,연인,138256
202302,싱글,137200
202212,싱글,134704
202206,싱글,130672
202209,연인,123488
202306,학생,122064
202206,연인,116640
202302,연인,116080
202208,연인,115120
202207,연인,114624
202211,연인,113664
202212,연인,113216
202301,연인,112032
202205,연인,108896
202305,학생,108416
202204,연인,108368
202204,싱글,97968
202303,학생,96480
202203,싱글,94896
202201,싱글,93200
202207,학생,92368
202208,학생,91696
202201,연인,91168
202304,학생,91072
202210,학생,90976
202211,학생,86880
202212,학생,86688
202302,학생,84464
202301,학생,84224
202205,학생,82288
202203,연인,82064
202202,싱글,81408
202209,학생,81120
202206,학생,71968
202202,연인,67936
202201,학생,55472
202204,학생,55248
202203,학생,49552
202202,학생,48304
