기준연월,목적지 유형,목적지 검색량
202201,숙박,146124
202201,음식,397258
202201,쇼핑,162027
202201,기타관광,36225
202201,문화관광,102588
202201,역사관광,72732
202201,자연관광,154799
202201,체험관광,12479
202201,레저스포츠,34717
202202,숙박,155334
202202,음식,419956
202202,쇼핑,147535
202202,기타관광,36702
202202,문화관광,102207
202202,역사관광,75862
202202,자연관광,149638
202202,체험관광,12310
202202,레저스포츠,42348
202203,숙박,147962
202203,음식,478617
202203,쇼핑,158982
202203,기타관광,36803
202203,문화관광,112932
202203,역사관광,81512
202203,자연관광,169956
202203,체험관광,12681
202203,레저스포츠,72501
202204,숙박,277299
202204,음식,699870
202204,쇼핑,190426
202204,기타관광,73440
202204,문화관광,217252
202204,역사관광,217473
202204,자연관광,296152
202204,체험관광,25347
202204,레저스포츠,111521
202205,숙박,335387
202205,음식,812921
202205,쇼핑,206640
202205,기타관광,79759
202205,문화관광,234010
202205,역사관광,142801
202205,자연관광,315978
202205,체험관광,34546
202205,레저스포츠,123156
202206,숙박,354896
202206,음식,840612
202206,쇼핑,190373
202206,기타관광,66662
202206,문화관광,219758
202206,역사관광,109330
202206,자연관광,281831
202206,체험관광,39667
202206,레저스포츠,115887
202207,숙박,387633
202207,음식,894792
202207,쇼핑,196750
202207,기타관광,52780
202207,문화관광,203532
202207,역사관광,106919
202207,자연관광,270570
202207,체험관광,35534
202207,레저스포츠,105706
202208,숙박,417317
202208,음식,911929
202208,쇼핑,210445
202208,자연관광,331646
202208,기타관광,60167
202208,문화관광,215068
202208,역사관광,107715
202208,체험관광,38188
202208,레저스포츠,102068
202209,숙박,319676
202209,음식,755887
202209,기타관광,90858
202209,쇼핑,211939
202209,문화관광,194452
202209,역사관광,109534
202209,자연관광,338281
202209,체험관광,22200
202209,레저스포츠,116462
202210,숙박,405705
202210,음식,939558
202210,기타관광,316088
202210,문화관광,330641
202210,쇼핑,270355
202210,역사관광,171907
202210,자연관광,377208
202210,체험관광,30882
202210,레저스포츠,145663
202211,숙박,273315
202211,음식,767196
202211,기타관광,252316
202211,문화관광,173582
202211,쇼핑,214675
202211,역사관광,120412
202211,자연관광,192216
202211,체험관광,20530
202211,레저스포츠,118110
202212,숙박,242127
202212,음식,725521
202212,기타관광,200769
202212,문화관광,127069
202212,쇼핑,205836
202212,역사관광,59053
202212,자연관광,107341
202212,체험관광,20446
202212,레저스포츠,41060
202301,숙박,195473
202301,음식,681277
202301,기타관광,211941
202301,문화관광,137508
202301,쇼핑,208476
202301,역사관광,74974
202301,자연관광,116655
202301,체험관광,20808
202301,레저스포츠,37029
202302,기타관광,210961
202302,문화관광,150032
202302,쇼핑,211884
202302,숙박,218136
202302,음식,728342
202302,역사관광,86168
202302,자연관광,140078
202302,체험관광,23853
202302,레저스포츠,57301
202303,기타관광,235839
202303,쇼핑,219252
202303,숙박,215239
202303,음식,811052
202303,문화관광,180991
202303,역사관광,129724
202303,자연관광,206393
202303,체험관광,15668
202303,레저스포츠,93273
202304,기타관광,272124
202304,문화관광,246881
202304,쇼핑,251276
202304,숙박,320322
202304,음식,915687
202304,역사관광,211369
202304,자연관광,273323
202304,체험관광,27976
202304,레저스포츠,122474
202305,기타관광,253998
202305,문화관광,212823
202305,쇼핑,243629
202305,숙박,327558
202305,음식,883746
202305,역사관광,125184
202305,자연관광,246326
202305,체험관광,27576
202305,레저스포츠,121881
202306,기타관광,248200
202306,문화관광,223149
202306,쇼핑,196028
202306,숙박,354749
202306,음식,914123
202306,역사관광,116071
202306,자연관광,269989
202306,체험관광,36483
202306,레저스포츠,128046
