기준연월,동반유형명,언급건수
202305,기타가족,674856
202306,기타가족,611100
202208,기타가족,568274
202304,기타가족,543536
202209,기타가족,518770
202210,기타가족,514598
202303,기타가족,499128
202301,기타가족,493710
202211,기타가족,489328
202302,기타가족,460810
202205,기타가족,460670
202206,기타가족,450366
202212,기타가족,445340
202207,기타가족,444710
202305,친구,345660
202201,기타가족,334516
202306,친구,328748
202305,부모님,317436
202305,자녀,304444
202305,회사동료,299096
202203,기타가족,297108
202304,친구,296506
202204,기타가족,296254
202303,친구,279272
202306,부모님,272804
202202,기타가족,262402
202306,자녀,258874
202306,회사동료,256088
202209,부모님,250334
202302,자녀,249130
202304,자녀,248962
202208,부모님,245980
202304,부모님,243404
202205,부모님,239232
202303,자녀,238266
202304,회사동료,236908
202206,부모님,236572
202210,부모님,236222
202210,친구,232330
202211,친구,232204
202211,부모님,231924
202208,친구,228592
202302,친구,228074
202211,자녀,227388
202212,자녀,226492
202303,부모님,224616
202301,친구,222460
202209,친구,222418
202301,부모님,220584
202212,친구,219898
202208,자녀,215810
202205,자녀,213948
202206,자녀,213346
202210,자녀,210658
202302,부모님,209916
202212,부모님,206752
202207,친구,206542
202209,자녀,204232
202207,자녀,203602
202207,부모님,203546
202301,자녀,199794
202303,회사동료,199388
202212,회사동료,192892
202206,친구,190498
202205,친구,189672
202302,회사동료,185682
202208,회사동료,176078
202211,회사동료,175238
202301,회사동료,173810
202201,친구,173026
202201,회사동료,171388
202209,회사동료,171262
202210,회사동료,170590
202201,자녀,169456
202207,회사동료,165802
202206,회사동료,159040
202205,회사동료,156058
202203,친구,151172
202204,친구,150430
202204,자녀,148176
202203,자녀,141778
202203,부모님,138544
202305,배우자,137648
202204,부모님,134204
202201,부모님,133280
202306,배우자,126434
202303,배우자,124558
202202,친구,120582
202202,자녀,116018
202306,싱글,114758
202202,부모님,112504
202203,회사동료,112420
202304,배우자,112238
202305,싱글,111566
202210,배우자,108878
202302,학생,108528
202208,배우자,106974
202204,회사동료,106232
202306,연인,105224
202205,배우자,104874
202209,배우자,103180
202305,연인,103026
202301,배우자,100268
202211,배우자,99638
202302,배우자,97566
202210,싱글,95956
202208,싱글,94850
202207,배우자,93128
202206,배우자,93002
202211,싱글,92540
202303,싱글,91588
202304,싱글,91560
202209,싱글,91518
202212,배우자,91028
202202,회사동료,89614
202304,연인,88830
202302,싱글,85862
202207,싱글,84224
202301,싱글,83692
202212,싱글,80780
202206,싱글,78302
202303,연인,78302
202302,연인,75936
202205,싱글,75810
202210,연인,74256
202305,학생,74116
202208,연인,73500
202204,배우자,72058
202209,연인,71106
202211,연인,67788
202206,연인,65590
202301,연인,64302
202201,배우자,63938
202203,배우자,63868
202212,연인,63518
202303,학생,63098
202207,연인,61936
202306,학생,60004
202203,싱글,59136
202204,싱글,56532
202205,연인,56112
202207,학생,56014
202201,싱글,54922
202202,배우자,54278
202206,학생,53410
202201,학생,50960
202304,학생,50204
202208,학생,49980
202202,싱글,49700
202204,연인,49196
202211,학생,49056
202210,학생,47964
202203,연인,45962
202212,학생,44870
202209,학생,43988
202301,학생,42602
202202,연인,40026
202205,학생,39228
202201,연인,38514
202204,학생,38304
202203,학생,33124
202202,학생,24360
