기준연월,목적지 유형,목적지 검색량
202201,숙박,83739
202201,음식,218972
202201,쇼핑,84561
202201,기타관광,52958
202201,문화관광,54809
202201,역사관광,22499
202201,자연관광,31801
202201,체험관광,7199
202201,레저스포츠,46910
202202,숙박,91553
202202,음식,245732
202202,쇼핑,77208
202202,기타관광,52188
202202,문화관광,57536
202202,역사관광,22740
202202,자연관광,31078
202202,체험관광,5856
202202,레저스포츠,68337
202203,숙박,92070
202203,음식,294207
202203,쇼핑,83492
202203,기타관광,49834
202203,문화관광,63967
202203,역사관광,23151
202203,자연관광,30643
202203,체험관광,5208
202203,레저스포츠,128486
202204,숙박,152138
202204,음식,434289
202204,쇼핑,102709
202204,기타관광,100154
202204,문화관광,122969
202204,역사관광,42899
202204,자연관광,57859
202204,체험관광,7896
202204,레저스포츠,182508
202205,숙박,180575
202205,음식,528897
202205,쇼핑,112950
202205,기타관광,108352
202205,문화관광,133577
202205,역사관광,51738
202205,자연관광,73597
202205,체험관광,8928
202205,레저스포츠,208418
202206,숙박,190111
202206,음식,545600
202206,쇼핑,104049
202206,기타관광,90453
202206,문화관광,114907
202206,역사관광,36425
202206,자연관광,71672
202206,체험관광,8369
202206,레저스포츠,191902
202207,숙박,221612
202207,음식,582923
202207,쇼핑,113229
202207,기타관광,81077
202207,문화관광,115126
202207,역사관광,33667
202207,자연관광,96034
202207,체험관광,9189
202207,레저스포츠,185472
202208,숙박,242098
202208,음식,594987
202208,쇼핑,125513
202208,기타관광,97056
202208,문화관광,136479
202208,역사관광,38526
202208,자연관광,106132
202208,체험관광,9850
202208,레저스포츠,180848
202209,숙박,171972
202209,음식,499177
202209,기타관광,105504
202209,쇼핑,117670
202209,문화관광,121543
202209,역사관광,42485
202209,자연관광,66372
202209,체험관광,8197
202209,레저스포츠,192274
202210,숙박,229983
202210,음식,619612
202210,기타관광,319020
202210,쇼핑,150071
202210,문화관광,191719
202210,역사관광,76687
202210,자연관광,110252
202210,체험관광,10981
202210,레저스포츠,225424
202211,숙박,169660
202211,음식,519289
202211,기타관광,250031
202211,쇼핑,126006
202211,문화관광,112631
202211,역사관광,49506
202211,자연관광,62494
202211,체험관광,8812
202211,레저스포츠,179381
202212,숙박,131158
202212,음식,455198
202212,기타관광,189095
202212,쇼핑,118394
202212,문화관광,70314
202212,역사관광,18236
202212,자연관광,27383
202212,체험관광,9521
202212,레저스포츠,52977
202301,숙박,105825
202301,음식,406824
202301,기타관광,187024
202301,쇼핑,115321
202301,문화관광,69357
202301,역사관광,25596
202301,자연관광,27780
202301,체험관광,10939
202301,레저스포츠,33921
202302,기타관광,185410
202302,쇼핑,109021
202302,숙박,116229
202302,음식,441654
202302,문화관광,78247
202302,역사관광,26834
202302,자연관광,30236
202302,체험관광,9240
202302,레저스포츠,83895
202303,기타관광,213539
202303,쇼핑,120038
202303,숙박,126194
202303,음식,506100
202303,문화관광,98748
202303,역사관광,35609
202303,자연관광,38699
202303,체험관광,8302
202303,레저스포츠,158089
202304,기타관광,261043
202304,쇼핑,129468
202304,숙박,175073
202304,음식,571228
202304,문화관광,139198
202304,역사관광,48125
202304,자연관광,56118
202304,체험관광,14358
202304,레저스포츠,191132
202305,기타관광,247739
202305,문화관광,127189
202305,쇼핑,127490
202305,숙박,178281
202305,음식,574221
202305,역사관광,49482
202305,자연관광,53711
202305,체험관광,11260
202305,레저스포츠,199375
202306,기타관광,245447
202306,쇼핑,105419
202306,숙박,192990
202306,음식,594585
202306,문화관광,126580
202306,역사관광,41346
202306,자연관광,68974
202306,체험관광,10666
202306,레저스포츠,202164
