,기초지자체,기타관광,레저스포츠,문화관광,쇼핑,숙박,역사관광,음식,자연관광,체험관광,외부방문자 수
0,서울특별시 강남구,4681899.0,237795.71428571426,27999477.0,29437557.0,28349901.0,2169944.6190476194,98559579.7142857,0.0,7660.0,191488692.0
1,서울특별시 강동구,86946.0,241898.71428571426,5863096.0,9500638.0,2338230.0,873993.6190476189,25393280.714285716,0.0,17301.0,44360264.0
2,서울특별시 강북구,419085.0,305823.0,2505485.0,6420236.0,3277662.0,3538251.0,11829140.0,154548.0,564.0,28202221.0
3,서울특별시 강서구,25319180.0,815993.7142857143,5323442.0,16538216.0,4454421.0,296304.61904761905,15946174.714285713,0.0,12375.0,68751676.0
4,서울특별시 관악구,20944.0,116978.0,4175451.0,16565924.0,4156550.0,698803.0,25282616.0,502648.0,3576.0,51082096.0
5,서울특별시 광진구,3321744.0,356093.0,16988076.0,9025195.0,11145648.0,578576.0,18399245.0,23859.0,250518.0,59647049.0
6,서울특별시 구로구,10567.0,280802.0,6617155.0,25993097.0,6166465.0,123636.0,12711235.0,1180880.0,1057.0,52835793.0
7,서울특별시 금천구,0.0,0.0,2098084.0,15233085.0,2391662.0,413418.61904761905,6222054.714285715,0.0,6864.0,26400951.0
8,서울특별시 노원구,481727.0,2596604.7142857146,4513052.0,28106131.0,960941.0,378208.61904761905,13153877.714285713,15122.952380952382,6537.0,50284702.0
9,서울특별시 도봉구,58644.0,86363.71428571429,2411479.0,11375135.0,1254043.0,293695.61904761905,10574767.714285713,53539.952380952374,524.0,26180431.0
10,서울특별시 동대문구,461397.0,550308.0,2205633.0,21513487.0,2541152.0,342461.0,18657178.0,102738.0,152719.0,46278501.0
11,서울특별시 동작구,36277.0,0.0,8185103.0,8425983.0,4098356.0,993928.6190476189,26598041.714285716,0.0,967.0,48369595.0
12,서울특별시 마포구,221603.0,165310.71428571426,23979932.0,15400423.0,11368866.0,573936.6190476189,49860390.71428572,0.0,20331.0,101652955.0
13,서울특별시 서대문구,26777.0,52145.0,11338674.0,15748432.0,8680699.0,2529022.0,32460921.0,64124.0,7751.0,70465936.0
14,서울특별시 서초구,5633684.0,167757.71428571426,21203136.0,41037799.0,13746188.0,3537915.6190476194,49656765.71428572,1507473.9523809524,12292.0,136574146.0
15,서울특별시 성동구,5726.0,0.0,12970931.0,16772100.0,1062995.0,43918.61904761905,21110601.714285716,20793.95238095238,15096.0,52056551.0
16,서울특별시 성북구,72324.0,1370424.714285714,2574022.0,14153635.0,1524023.0,3450215.6190476194,20375838.714285716,0.0,3485.0,43568414.0
17,서울특별시 송파구,228246.0,349528.7142857143,21440424.0,38759794.0,9067793.0,283696.61904761905,34209915.71428572,757042.9523809524,14726.0,105182615.0
18,서울특별시 양천구,0.0,1805443.0,4141324.0,16502967.0,129137.0,192844.0,11908804.0,689.0,3788.0,34436423.0
19,서울특별시 영등포구,884895.0,455324.7142857143,14366587.0,43326264.0,10577471.0,16702.619047619046,26255484.714285716,18448.95238095238,960.0,95975597.0
20,서울특별시 용산구,8701952.0,117927.71428571429,24033921.0,11960048.0,12174859.0,225050.61904761905,27306391.714285716,987379.9523809524,1712.0,85581742.0
21,서울특별시 은평구,744216.0,271075.0,2324941.0,13842024.0,1364831.0,2592689.0,11605463.0,111535.0,4240.0,32612439.0
22,서울특별시 종로구,6824439.0,94637.71428571429,29610632.0,12501180.0,14166217.0,17125808.61904762,35943625.71428572,165799.95238095237,11652.0,116517658.0
23,서울특별시 중구,537321.0,79280.71428571429,11092186.0,46680669.0,35536679.0,991675.6190476189,25505649.714285716,0.0,6024.0,120475569.0
24,서울특별시 중랑구,231103.0,32879.71428571429,2622374.0,18052713.0,899011.0,170649.61904761905,8920759.714285713,0.0,4957.0,30979018.0
25,경기도 가평군,1766811.0,3722204.7142857146,1760579.0,66216.0,8394431.0,118074.61904761905,8002125.714285715,2055992.9523809524,8050.0,25967244.0
26,경기도 고양시 덕양구,2889715.0,3343183.7142857146,4254493.0,15030864.0,1058189.0,1476868.619047619,28759746.714285716,25575.95238095238,287713.0,57199421.0
27,경기도 고양시 일산동구,785563.0,433883.7142857143,6263715.0,13316276.0,1792134.0,341735.61904761905,31675325.714285716,0.0,50876.0,54704936.0
28,경기도 고양시 일산서구,648156.0,200993.71428571426,12042354.0,12104945.0,1304607.0,0.0,11258482.714285713,5184.952380952382,69001.0,37705411.0
29,경기도 과천시,38100.0,2147565.7142857146,8426102.0,477065.0,120801.0,921605.6190476189,5787669.714285715,55261.952380952374,10292.0,18056965.0
