기준연월,방문자 수,워케이션,기타관광,레저스포츠,문화관광,쇼핑,숙박,역사관광,음식,자연관광,체험관광,쇼핑업,숙박업,식음료업,여가서비스업,여행업,운송업,전체소비
강원202201,11941122.0,829814.0,22405.0,58087.0,80492.0,66385.0,214092.0,22405.0,225709.0,80492.0,3319.0,15446243.0,20738225.0,53111673.0,7852979.0,230240.0,55247.0,97434607.0
강원202202,9689337.0,653565.0,18953.0,49017.0,58821.0,49671.0,165352.0,16993.0,192148.0,56860.0,2614.0,11926163.0,17166154.0,44641925.0,8922462.0,208316.0,47279.0,82912299.0
강원202203,10250173.0,1027933.0,28782.0,101765.0,79151.0,81207.0,203531.0,25698.0,318659.0,88402.0,4112.0,12280738.0,8224277.0,36738906.0,13360008.0,170724.0,31991.0,70806644.0
강원202204,11695493.0,693881.0,26367.0,63837.0,58286.0,47878.0,157511.0,20123.0,212328.0,64531.0,2776.0,14903256.0,11706274.0,53520764.0,21753838.0,323360.0,63098.0,102270591.0
강원202205,13184421.0,930414.0,28843.0,80016.0,96763.0,60477.0,214926.0,27912.0,286568.0,88389.0,3722.0,16343244.0,16380731.0,67066923.0,28034870.0,441684.0,99817.0,128367268.0
강원202206,12640716.0,903849.0,27115.0,73212.0,85866.0,56942.0,226866.0,23500.0,279289.0,86770.0,3615.0,14263592.0,17906090.0,67818790.0,25644864.0,480794.0,119819.0,126233949.0
강원202207,16128129.0,1193884.0,28653.0,87154.0,87154.0,75215.0,331900.0,26265.0,373686.0,137297.0,4776.0,15095201.0,26500613.0,79010455.0,26068146.0,651555.0,125164.0,147451134.0
강원202208,17713804.0,1339732.0,33493.0,83063.0,100480.0,87083.0,360388.0,32154.0,430054.0,167466.0,5359.0,14633427.0,31710650.0,93872245.0,26142189.0,570788.0,145410.0,167074708.0
강원202209,13312038.0,1023140.0,35810.0,90036.0,90036.0,67527.0,248623.0,28648.0,304896.0,100268.0,4093.0,14250527.0,14884070.0,60099357.0,22802229.0,309479.0,104873.0,112450537.0
강원202210,15191343.0,1183347.0,94668.0,84018.0,115968.0,71001.0,265070.0,46151.0,333704.0,123068.0,5917.0,16330259.0,17484209.0,74409903.0,26400564.0,499592.0,226530.0,135351059.0
강원202211,11258977.0,917430.0,69725.0,75229.0,77064.0,61468.0,201835.0,29358.0,269724.0,77064.0,3670.0,13466513.0,11551923.0,53467800.0,19112034.0,303020.0,105075.0,98006366.0
강원202212,10513452.0,900205.0,55813.0,50411.0,79218.0,65715.0,242155.0,17104.0,272762.0,62114.0,4501.0,15285642.0,18043272.0,55121332.0,8619267.0,220075.0,62317.0,97351906.0
강원202301,12615103.0,977433.0,64511.0,57669.0,111427.0,67443.0,246313.0,20526.0,279546.0,69398.0,4887.0,14084526.0,22261879.0,56361548.0,7539877.0,253190.0,36007.0,100537027.0
강원202302,11185138.0,849731.0,53533.0,56082.0,75626.0,59481.0,213282.0,19544.0,260018.0,61181.0,4249.0,12413975.0,18558775.0,56336359.0,9703806.0,290580.0,46843.0,97350338.0
강원202303,12152894.0,1017881.0,73287.0,87538.0,80413.0,74305.0,193397.0,27483.0,322668.0,86520.0,5089.0,13595242.0,9554949.0,50554545.0,15807408.0,200069.0,59100.0,89771312.0
강원202304,11165055.0,1226912.0,88338.0,110422.0,109195.0,80976.0,258878.0,35580.0,371754.0,99380.0,6135.0,13757898.0,11662427.0,58426095.0,20297641.0,174354.0,105487.0,104423901.0
강원202305,12499217.0,1126755.0,75493.0,102535.0,105915.0,73239.0,246759.0,33803.0,334646.0,93521.0,5634.0,14914005.0,14634523.0,64644925.0,23690855.0,159231.0,109760.0,118153299.0
강원202306,12290288.0,1104335.0,70677.0,97181.0,109329.0,60738.0,251788.0,29817.0,326883.0,103807.0,5522.0,12895525.0,15141982.0,63627577.0,23317464.0,202005.0,134002.0,115318554.0
경기202201,46206079.0,4967775.0,69549.0,273228.0,452068.0,1336331.0,347744.0,99356.0,2126208.0,104323.0,24839.0,291214551.0,12556811.0,302538737.0,34936670.0,85189.0,9215923.0,650547882.0
경기202202,39261432.0,4256989.0,59598.0,272447.0,374615.0,1055733.0,306503.0,80883.0,1898617.0,89397.0,21285.0,238557399.0,11553639.0,257929750.0,40785763.0,94617.0,8868632.0,557789800.0
경기202203,49029103.0,5079869.0,60958.0,467348.0,472428.0,1163290.0,304792.0,86358.0,2301181.0,101597.0,20319.0,282617949.0,13162543.0,316636493.0,71467724.0,124679.0,9536386.0,693545774.0
경기202204,52463014.0,5125678.0,76885.0,497191.0,599704.0,989256.0,322918.0,107639.0,2291178.0,143519.0,20503.0,317599780.0,13927903.0,386939078.0,93360497.0,150519.0,10425991.0,822403768.0
경기202205,53367666.0,5702526.0,68430.0,524632.0,695708.0,1026455.0,359259.0,119753.0,2645972.0,148266.0,22810.0,329239673.0,15183857.0,441500115.0,108385317.0,145493.0,11277484.0,905731939.0
경기202206,49153734.0,4989862.0,49899.0,429128.0,593794.0,883206.0,339311.0,74848.0,2415093.0,109777.0,19959.0,299500092.0,14808196.0,409431054.0,101135980.0,142999.0,11307695.0,836326015.0
경기202207,53954202.0,5542837.0,44343.0,443427.0,581998.0,997711.0,393541.0,77600.0,2788047.0,121942.0,22171.0,297250081.0,16494241.0,431590069.0,97832385.0,179328.0,11606857.0,854952960.0
경기202208,52264925.0,5608615.0,56086.0,415038.0,616948.0,1020768.0,403820.0,84129.0,2770656.0,134607.0,22434.0,279003941.0,16469271.0,414622331.0,87700694.0,189928.0,11729081.0,809715247.0
경기202209,55002283.0,6473565.0,116524.0,537306.0,731513.0,1294713.0,420782.0,135945.0,2951946.0,155366.0,32368.0,301692772.0,14410231.0,387714162.0,93368699.0,134431.0,11498462.0,808818757.0
경기202210,55588636.0,6218822.0,329598.0,453974.0,690289.0,1461423.0,379348.0,118158.0,2524842.0,161689.0,37313.0,353934573.0,16684760.0,433683621.0,100654015.0,158537.0,12152233.0,917267738.0
경기202211,50088955.0,5824063.0,314499.0,413508.0,529990.0,1456016.0,337796.0,93185.0,2463579.0,110657.0,23296.0,298364567.0,14457100.0,379470181.0,80577322.0,165657.0,11913887.0,784948713.0
경기202212,47985933.0,5460643.0,273032.0,174741.0,447773.0,1556283.0,322178.0,49146.0,2479132.0,54606.0,27303.0,305482097.0,14605425.0,392730972.0,38842650.0,159964.0,11550049.0,763371157.0
